Date,Department,Item Group,Item Name,Business Group,Quantity,Sales Price,Gross Amount,Line Discount Amount,Line Discount Percent,Net Amount,Tax Amount,Invoice Amount,WeekInYear,Batch Number,Outlet Region,Country Code,Channel Name,Sales Tax Group,Customer Classification Group
12/1/2021,MASS,Food,Kikkoman Soy Sauce Dispenser (150ml),FOOD,6,"57,100.00","342,600.00",0,0,"342,600.00","34,260.00","376,860.00",49,20241011,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Latino Bella Extra Virgin OLIVE OIL (250ml) GREEN BOTTLE,FOOD,12,"81,500.00","978,000.00",0,10,"880,200.00","88,020.00","968,220.00",49,20240721,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,McCormick Whole Black Peppercorn (35g),FOOD,12,"58,500.00","702,000.00",0,0,"702,000.00","70,200.00","772,200.00",49,20250422,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Lorenz Pomsticks Hot & Spicy (100g),FOOD,24,"30,700.00","736,800.00",0,0,"736,800.00","73,680.00","810,480.00",49,20220521,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Ricola Original Herbs Carton Box (40g),FOOD,2,"24,200.00","48,400.00",0,0,"48,400.00","4,840.00","53,240.00",49,20230518,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,Haagen Dazs Coffee Pint (473ml),FOOD,8,"181,720.00","1,453,760.00",0,0,"1,453,760.00","145,376.00","1,599,136.00",49,20220926,South,,Modern Trade,TP-HCM,AGM
12/1/2021,HORECA,BEVERAGE,La Vie Glass Bottle Still 450ml,BEVERAGE,60,"23,000.00","1,380,000.00","12,810.00",0,"611,400.00","61,140.00","672,540.00",49,20220511,South,VNM,Horeca,TP-HCM,Pizza4P
12/1/2021,HORECA,FOOD,Emborg Frozen IQF Mozzarella  Shredded (Easy stretch - Emborg),FOOD,8,"170,000.00","1,360,000.00","30,000.00",0,"1,120,000.00","112,000.00","1,232,000.00",49,20220408,South,DNK,Horeca,TP-HCM,SolGroup
12/1/2021,MASS,Food,McCormick Hungarian Paprika (30g),FOOD,4,"52,100.00","208,400.00",0,0,"208,400.00","20,840.00","229,240.00",49,20230629,South,,Modern Trade,TP-HCM,Aeon
12/1/2021,MASS,Food,Ricola Swiss Herb Candy Tet Gift Box 100g,FOOD,16,0,0,0,0,0,0,0,49,20230518,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Haribo Happy Cola 160g,FOOD,12,"34,300.00","411,600.00",0,0,"411,600.00","41,160.00","452,760.00",49,20221009,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Haribo Happy Cherries (80g),FOOD,24,"19,000.00","456,000.00",0,0,"456,000.00","45,600.00","501,600.00",49,20220903,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,FOOD,Loacker Quadratini 110gx12 Matcha,FOOD,1,0,0,0,0,0,0,0,49,20221028,South,ITA,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Ritter Sport Butter Biscuit (100g),FOOD,12,"39,000.00","468,000.00",0,7,"435,240.00","43,524.00","478,764.00",49,20220713,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Haribo Goldbears 160g,FOOD,12,"34,300.00","411,600.00",0,0,"411,600.00","41,160.00","452,760.00",49,20221208,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,NONFOOD,Duracell Coppertop Alkaline AAA4,,12,"47,700.00","572,400.00",0,20,"457,920.00","45,792.00","503,712.00",49,20311030,South,CHN,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,POSM,Haagen Dazs Cooler Bag - BTS Band,FOOD,6,0,0,0,0,0,0,0,49,NOEXP,South,HKG,Modern Trade,TP-HCM,AGM
12/1/2021,MASS,FOOD,McVitie's Digestives Nibbles Dark Choco (80g),FOOD,28,"25,000.00","700,000.00",0,0,"700,000.00","70,000.00","770,000.00",49,20221027,South,GBR,Modern Trade,TP-HCM,Aeon
12/1/2021,MASS,Food,Pep. Farm Distinctive Butter Chessman (206g),FOOD,24,0,0,0,0,0,0,0,49,20220827,South,,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,Haribo Goldbears 200g,FOOD,20,"51,900.00","1,038,000.00",0,0,"1,038,000.00","103,800.00","1,141,800.00",49,20221215,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,McCormick Thyme Leaves (12g),FOOD,4,"32,500.00","130,000.00",0,0,"130,000.00","13,000.00","143,000.00",49,20250616,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,FOOD,Haribo Grapes 80g,FOOD,30,"19,000.00","570,000.00",0,0,"570,000.00","57,000.00","627,000.00",49,20230212,South,TUR,Modern Trade,TP-HCM,Vinmart
